"date","type","dead","injured","location","details","perpetrator","partOf"
"12","Suicide car bombings","0 (+2)","4","Derna, Libya","A suicide car bomber attacked military forces in the Libyan city of Derna, injuring four soldiers. Another suicide bomber drove a car loaded with explosives to the port of Derna, trying to hit the soldiers in charge of securing the port, but his vehicle exploded before reaching the target.[116]","Derna Protection Force","Libyan Civil War"
"12","Execution, arson","1","0","Macomia District, Mozambique","A group of armed men attacked the village of Nathuko in the Macomia district in the Mozambican province of Cabo Delgado. The terrorists decapitated a villager, burned down several houses and killed all the animals.[117]","Ansar al-Sunna","Islamist insurgency in Mozambique"
"13","Stabbing, shooting","1","0","Mayo-Sava, Cameroon","A trader was killed by Boko Haram terrorists armed with machetes and firearms in the village of Alhadjiri in the department of Mayo-Sava in Cameroon's Far North region.[118]","Boko Haram","Boko Haram insurgency"
"13","Shooting, hostage taking","20 (+8)","9","Jurm District, Afghanistan","20 soldiers were killed, at least three injured and six taken hostage in a Taliban attack on a military post in the Jurm district in the northern Afghan province of Badakhshan. Eight militants were also killed.[119][120]","Taliban","War in Afghanistan"
"14","Shooting","3","1","Srinagar, India","Senior journalist Shujaat Bukhari was shot dead along with his two security officers outside his office in the city of Srinagar in the Indian state of Jammu and Kashmir. A civilian was also injured in the incident.[121][122][123]","Lashkar-e-Taiba","Insurgency in Jammu and Kashmir"
"14","Shooting","1 (+2)","0","Bandipora district, India","An army personnel and two militants were killed in an encounter in a forest area in the Bandipora district in the Indian state of Jammu and Kashmir.[124]","Lashkar-e-Taiba (suspected)","Insurgency in Jammu and Kashmir"
"14","Kidnapping, shooting","1","0","Pulwama district, India","An army soldier was kidnapped by militants in the Pulwama district in the Indian state of Jammu and Kashmir. His corpse was found later.[125][126]","Lashkar-e-Taiba and Hizbul Mujahideen","Insurgency in Jammu and Kashmir"
"14","Arson","0","0","Macomia District, Mozambique","Terrorists attacked the village of Ibu in the Macomia district in the northern Mozambican province of Cabo Delgado, where they burned down 44 houses.[127]","Ansar al-Sunna","Islamist insurgency in Mozambique"
"14","Shooting","4","9","Suruç, Turkey","Four people were killed and nine injured in a shooting in the southern Turkish town of Suruç. The shootout took place when a parliamentary candidate from the Justice and Development Party visited shopkeepers.[128][129]","PKK (suspected)","Kurdish–Turkish conflict"
"15","Bombing","1","0","Daynile District, Somalia","At least one Somali soldier was killed when an improvised explosive device detonated in the Daynile district of Somalia's Banaadir region.[130][131]","Islamic State","Somali Civil War"
"15","Shooting","Unknown (+1)","Unknown","Buea, Cameroon","Separatists blocked the Buea-Kumba Highway during a series of clashes in this road who remained blocked for four days. No details of the casualties were given, that only one gunmen were killed in the attack.[132]","Ambazonia Defence Forces","Anglophone Crisis"
"16","Shooting, Clashes","1","Unknown","Fundong, and Ekona, Cameroon","A police officer was killed while on patrol in Fundong, Boyo Division.The same day, Ambazonian started a blockade of the Kumba-Buea highway at Ekona, a town located approximately 10 kilometers from Buea. A military assault on the separatists in Ekona failed to lift the blockade.While casualties related to the battle of Ekona remain unconfirmed, the Cameroonian government later declared that more than 40 soldiers and policemen died in the later half of June.[133][134]","Ambazonia Defence Forces","Anglophone crisis"
"16","Suicide bombing","36 (+1)","65","Rodat District, Afghanistan","A suicide bomber killed at least 36 people and injured 65 others at a gathering of Taliban and Afghan armed forces in the Rodat district of the eastern Afghan province of Nangarhar.[135][136]","Islamic State","War in Aghanistan"
"16","Bike Bombing","0","6","Caloto, Colombia","A motorcycle bomb were detonate near the municipal cementery of Caloto left two civilians injured. Later in the municipality of La Trituradora four civilians were slightly injured by the detonation of other motorcycle bomb. The authorities suspects of  FARC dissidents are behind the attacks.[137][138]","FARC dissidents","Colombian conflict"
"16","Suicide bombing, attempted suicide bombing","1 (+2)","0","Limani, Cameroon","Two suicide bombers were killed when one of them prematurely activated her explosive device in the town of Limani in the Far North region of Cameroon. A young boy was also killed in the explosion.[139]","Boko Haram","Boko Haram insurgency"
"16","Shooting","2","0","Hile-Alifa, Cameroon","Two people were killed by terrorists in the village of Tchika in the commune of Hile-Alifa in northern Cameroon.[140]","Boko Haram","Boko Haram insurgency"
"16","Suicide bombings","43 (+6)","84","Damboa, Nigeria","At least 43 people were killed and 84 others injured when six female suicide bombers detonated their explosives in the Damboa local government area in the Nigerian state of Borno.[141][142]","Boko Haram","Boko Haram insurgency"
"16","Mortar attack","1","1","General Salipada K. Pendatun, Philippines","A woman believed to be pregnant was killed while a 14-year-old boy was injured by mortar fire from members of the Bangsamoro Islamic Freedom Fighters in General Salipada K. Pendatun in the Philippine province of Maguindanao.[143][144]","Bangsamoro Islamic Freedom Fighters","Moro conflict"
"16","Shooting","0 (+1)","1","Comin-Yanga Department, Burkina Faso","The district police station and the gendarmerie brigade in Comin-Yanga were attacked by armed men in the province of Koulpélogo in Burkina Faso. An assailant was killed and a policeman slightly injured.[145][146]","Al-Qaeda in the Islamic Maghreb (suspected)","Insurgency in the Maghreb"
"16","Shooting","1","0","Pama Department, Burkina Faso","A policeman was killed in an attack on a checkpoint of the National Road Safety Office in Tindangou in the Pama department of the Kompienga province in Burkina Faso.[147]","Al-Qaeda in the Islamic Maghreb (suspected)","Insurgency in the Maghreb"
"16-17","Kidnapping","1","11","Obo, Uppi Central African Republic","Militants of the Lord's Resistance Army abducted eight people in the town of Obo in the prefecture of Haut-Mbomou in the Central African Republic. In the town of Uppi, a worshipper was shoot desde and other three were injured during antes attack against a church.[148]","Lord's Resistance Army","Lord's Resistance Army insurgency"
"17","Bombing, Attempted Bombing","0","0","Arakan, Philippines","An improvised device detonate near an Army detachment and another bomb were defused in Arakan, Cotabato province. No casualties were reported.[149]","Bangsamoro Islamic Freedom Fighters","Moro conflict"
"17","Suicide bombing","25 (+1)","50","Jalalabad, Afghanistan","A suicide bomber detonated his explosives near the governor's compound in Afghanistan's eastern city of Jalalabad, killing at least 25 people and injuring 50 others.[150][151][152]","Islamic State","War in Aghanistan"
"17","Ambush","4","6","Mon district, India","Four Assam Rifles personnel were killed in an ambush by militants of the National Socialist Council of Nagaland in Nagaland's Mon district, near the Indian-Myanmar border. Six other soldiers were injured in the incident, two of them seriously.[153]","National Socialist Council of Nagaland","Nagaland conflict"
"17","Bombing, shooting","8","0","Wajir County, Kenya","Eight Kenyan security forces were killed when the car they were traveling in ran over an improvised explosive device, and then Al-Shabaab fighters opened fire in the northeastern Wajir County in Kenya.[154]","Al-Shabaab","Spillover of the War in Somalia"
"17","Shooting","2","0","Teorama, Colombia","Two civilians were killed when being confused for being supposed members of the ELN, in Teorama, Norte de Santander Department.[155][156]","EPL","Colombian conflict"
"17","Shooting, kidnapping","2","7","Diyala Governorate, Iraq","Two people were killed and seven others kidnapped by Islamic state extremists in the province of Diyala, north of the Iraqi capital Baghdad.[157]","Islamic State","Iraqi insurgency"
"17","Kidnapping, execution","7","23","Saladin Governorate, Iraq","At least 30 people from one tribe were kidnapped by Islamic state terrorists in the Saladin governorate in Iraq. The bodies of seven of them were found in a desert.[158]","Islamic State","Iraqi insurgency"
"17","Execution","2","0","Macomia District, Mozambique","Two people were assassinated by terrorists in the village of Nkoe in the Macomia district of the province of Cabo Delgado in Mozambique.[159]","Ansar al-Sunna","Islamist insurgency in Mozambique"
"18","Stabbing","1","0","Ukhia Upazila, Bangladesh","The Rohingya refugee camp leader Arif Ullah was hacked to death by members of the Arakan Rohingya Salvation Army in a camp in the Ukhia Upazila in the Cox's Bazar district of the Chittagong Division in Bangladesh.[160][161]","Arakan Rohingya Salvation Army","Terrorism in Bangladesh"
"18","Ambush","6","0","Nineveh Governorate, Iraq","Six people, including two members of Iraq's al-Hashd al-Ashaeri militia, were killed in an ambush by Islamic state militants near the Iraqi city of Mosul.[162]","Islamic State","Iraqi insurgency"
"18","Shooting","1","0","Fortul, Colombia","A soldier was intercepted by two individuals on a motorcycle and then shot dead in Fortul in the Colombian department of Arauca.[163]","ELN","Colombian conflict"
"18","Shooting","9","2","Nganzai, Nigeria","Boko Haram militants killed nine soldiers and wounded two others when they attacked the town of Gajiram, headquarters of the local government of Nganzai in northeastern Nigeria.[164]","Boko Haram","Boko Haram insurgency"
"18","Rocket Attack","0","0","Ashkelon, Israel","Militants fired three rockets to Southern Israel after a bombing of  number of targets in the coastal enclave in response to numerous arson attacks. Two of the rockets s fell inside Israel, while the third appeared to fall short of the border.[165]","Izz ad-Din al-Qassam Brigades","Israeli–Palestinian conflict"
