"date","type","dead","injured","location","details","perpetrator","partOf"
"9","Bombings","4","3","Ramadi, Iraq","Two bomb blasts in Ramadi killed at least four people.[45][46]","Islamic State","Iraqi insurgency"
"9","Arson","0","0","Gothenburg, Sweden","A group of masked attackers attacked with molotov cocktails a synagogue in the city of Gothenburg, Sweden. No one was injured. The cause that was the decision of the president of the USA. Donald Trump to recognize Jerusalem as Israel's capital.[47][48]","Islamist","Israeli–Palestinian conflict"
"9","Shooting","1 (+6)","1 (+dozens)","Mamfe, Cameroon","At least one police men and six militants were killed in an attack in the anglophone Southwest Region.[49]","Anglophone secessionist","Anglophone Crisis"
"10","Stabbing","0","1","Jerusalem, Israel","A security guard was seriously injured after being stabbed in the chest at the entrance to Jerusalem's central bus station.[50]","Abu Nidal Organization (suspected)","Israeli–Palestinian conflict"
"10","Bombing","0","2","Cauca Department, Colombia","At least two soldiers were wounded in a roadside bombing in the on Caloto road with Toribío.[51]","FARC Dissidents","Colombian conflict"
"11","Suicide Bombing","2 (+1)","0","Far North, Cameroon","Two civilians and the bomber were killed when suicide bombing attacked a mosque after morning prayers in far northern Cameroon.[52]","Boko Haram","Boko Haram insurgency"
"11","Attempted suicide bombing (pipe bomb partially detonated)","0","3 (+1)","New York City, United States","2017 Port Authority Bus Terminal explosion: A 27-year-old Bangladeshi national who lived in Brooklyn, is suspected of setting off a home-made pipe bomb at the port authority, in Manhattan. Later he told police his motive was recent Israeli actions in Gaza and that was inspired by the Islamic State.[53]","Akayed Ullah","Terrorism in the United States"
"11","Car Bombing","1","0","Mogadishu, Somalia","A car bombing killed a Somalian journalist in Mogadishu.[54]","Al-Shabaab","War in Somalia"
"11","Bombing, shooting","1","6","Kasserine Governorate, Tunisia","One Tunisian soldier was killed and six others injured when a landmine exploded, followed by an exchange of fire with terrorists in the Kasserine governorate in western Tunisia.[55]","Okba Ibn Nafaa Brigade (suspected)","Insurgency in the Maghreb"
"11","Arson","0","0","Cauca Department, Colombia","Members of the FARC´s Sixth front burned an intermunicipal service bus on the way from Corinto to Caloto, in Cauca.[56]","FARC Dissidents","Colombian conflict"
"11","Arson","0","0","Collipulli, Chile","Suspected mapuche militants burned an office of Celulosa Arauco y Constitución, and also near in the site of the attack were found a banner related with the arrest of other mapuches.[57]","Mapuche Militants","Mapuche conflict"
"12","Assassination","2","0","Tinsukia district, India","Two people (A father and son) were shot dead by ULFA militants.[58]","ULFA","Insurgency in Northeast India"
"12","Bombing","0","2","Mosul, Iraq","Two Iraqi policemen were wounded when an explosive device went off in northwestern Mosul.[59]","Islamic State (suspected)","Iraqi insurgency"
"12","Shooting","0","0","South Garo Hills district, India","An encounter between the security forces and members of the Garo National Liberation Army were reported near the village of Nangalbibra, in South Garo Hills district. No casualties were reported in both sides, and the officers claim the presence of the rebels was for the establishment as a centre to extort money from coal quarries and trucks. presence[60]","GNLA","Insurgency in Northeast India"
"13","Shooting","5","0","Damboa, Nigeria","Five people were killed by Boko Haram militants in Damboa, Nigeria.[61]","Boko Haram","Boko Haram insurgency"
"13","Grenade attack","0","2","Mixto, Guatemala","Two police officers were hurt in a grenade attack in the city of Mixto. Police is investigating the incident as a narcoterrorist attack.[62]","Anarchist (suspected)","Terrorism in Guatemala"
"13","Kidnapping","0","3 Kidnapped","Inzá, Colombia","At least two engineers and a topographer were kidnapped in corregimiento of San Andrés de Pisimbalá, jurisdiction of the municipality of Inzá, Cauca.[63][64]","FARC Dissidents","Colombian conflict"
"14","Shooting","0 (+1)","2","Assam, India","A militant were killed in an encounter between militants of NDFB and security forces.[65]","NDFB","Insurgency in Northeast India"
"14","Suicide bombing","18 (+1)","20","Mogadishu, Somalia","18 police officers were killed and 20 others were injured when a suicide bomber disguised as a policeman blew himself up inside a police training camp in Somalia's capital Mogadishu.[66][67]","Al-Shabaab","War in Somalia"
"14","Shooting, Ambush","14","0","Helmand province, Afghanistan","At least 14 security force members were killed in a shooting against Taliban militants in Helmand province, during a mission.[68]","Taliban","War in Afghanistan"
"14","Bombing","1","5","Baghdad, Iraq","A bomb placed in northern Baghdad killed at least a civilian and injured five others.[69]","Islamic State (suspected)","Iraqi insurgency"
"14","Bombing","0","1","Baqubah, Iraq","An Iraqi farmer was injured in a roadside bomb attack in Diyala Governorate.[70]","Islamic State (suspected)","Iraqi insurgency"
"15","Stabbing, attempted suicide bombing","0","1 (+1)","Ramallah, West Bank","An Israeli Border Police officer was moderately wounded Friday after being stabbed by a Palestinian in the West Bank city of Ramallah.[71]","Palestinian Nationalist","Israeli–Palestinian conflict"
"15","Suicide Bombing","2 (+1)","6","Samarra, Iraq","A suicide bombing launched against a group of militar brigades killed at least two security forces and injured six others.[72]","Islamic State","Iraqi insurgency"
"15","Arson","0","0","Rome, Italy","A policial van was damaged during an attack with molotov coctel in from the police station Prati and the Digos. The incident took place days after an attack against HQ of the Carabinieri.[73]","Informal Anarchist Federation (suspected)","Terrorism in Italy"
"16","Stabbing","0","2","Libreville, Gabon","Two Danes working for National Geographic were injured, one seriously, in a stabbing attack by a radical Nigerian Islamist in a tourist zone in Libreville. The attacker was inspired by ""US attacks against Muslims and America's recognition of Jerusalem as Israel's capital"".[74][75]","Islamist","Terrorism in Gabon"
"17","Shooting","0","2","Catubig, Philippines","At least two members of the AFP were wounded during an ambush in Northern Samar. The soldiers were conducting delivery of food and humanitarian assistance to inhabitants affected by the storm Urduja.[76]","New People's Army","CPP-NPA-NDF rebellion"
"17","Shooting","2","Unknown","Nariño, Colombia","An encounter between ELN and FARC dissidents kills at least two civilians in the department of Nariño.[77]","ELN (suspected)","Colombian conflict"
"17","Suicide bombing, shooting","9 (+2)","57","Quetta, Pakistan","2017 Quetta church attack: At least nine people, including two women, were killed and 57 sustained injuries when suicide bombers attacked Bethel Memorial Methodist Church located on Quetta's Zarghoon Road.[78]","Islamic State","War in North-West Pakistan"
"17","Attempted suicide bombing","0","0","West Bank, Israel","A Palestinian armed with explosives was arrested outside West Bank military court. A second pipe bomb was found in the suspect's jacket.[79]","Hamas (suspected)","Israeli–Palestinian conflict"
"17","Suicide bombing","1 (+1)","5","Kandahar province, Afghanistan","At least one woman was killed and five other civilians were wounded in a suicide attack on a convoy of foreign troops in Kandahar province.[80]","Taliban (suspected)","War in Afghanistan"
"17","Shooting","3 (+1)","0","Mosul, Iraq","Three federal police forces were killed in a shootout with Islamic State west of Mosul. In other incidents a suicide bomber detonate inside a house, during a security operation.[81]","Islamic State","Iraqi insurgency"
"17","Shooting, Execution","1","0","Misurata, Libya","Gunmen shot and killed the Mayor of Misurata, Libya, Mohamed Eshtewi, as they were chasing down his car.[82]","Libya Revolutionaries Operations Room (suspected)","Libyan Civil War"
"17","Bombing","0","4","Norte de Santander Department, Colombia","At least three policemen and a minor were wounded in a series of attack perpetrated for the Popular Liberation Army in commemoration of its 50th anniversary. In other incident Colombian officers defused a car bomb which was intended to detonate against civilians in Ocaña, Norte de Santander.[83][84]","Ejercito Popular de Liberación","Colombian conflict"
"17","Shooting","1","6","Labo, Camarines Norte, Philippines","At least one policeman was killed and other six were injured when communist militants ambushed a comvoy with members of the Philippine National Police.[85]","New People's Army","CPP-NPA-NDF rebellion"
"17","Assassination","1","0","Baggao, Philippines","A town councilor was shot dead in his house by militants of the New People's Army, in the municipality of Baggao, Province of Cagayan ,[86]","New People's Army","CPP-NPA-NDF rebellion"
"17","Bombing","0","2","San José del Guaviare, Colombia","At least one officer and a civilian was wounded in an attack with a motorcycle bombing in the department of Guaviare:[87]","FARC Dissidents","Colombian conflict"
"17","Arson","0","0","Yala province, Thailand","Ten gunmen dressed in camouflage they threw petrol bombs and burned a bus that was traveling in the province of Yala in the Southeast region.[88]","Islamist","South Thailand Insurgency"
"18","Shooting","0 (+3)","2","Kabul, Afghanistan","Gunmen attacked a training center of the National Directorate of Security in Kabul, injuring two policemen. All three attackers were gunned down.[89]","Islamic State","War in Afghanistan"
