"date","type","dead","injured","location","details","perpetrator","partOf"
"21","Shooting","7","1","Garmsir District, Afghanistan","Seven policemen were killed and an eighth wounded after Taliban militants stormed their check posts in the Garmsir district of southern Helmand province.[133]","Taliban","War in Afghanistan"
"21","Shooting","1","0","Quetta, Pakistan","Armed assailants shot dead a former police officer, who was fired over the 2011 killing of five Chechen women, in a hit-and-run attack in Quetta.[134]","Tehrik-i-Taliban Pakistan","War in North-West Pakistan"
"21","Shooting","3","0","North Kivu, Democratic Republic of Congo","Suspected Ugandan Islamist rebels killed three civilians in eastern Democratic Republic of Congo.[135]","Allied Democratic Forces","Allied Democratic Forces insurgency"
"21","Shooting, arson","1","0","Arauca Department, Colombia","A caravan made up of members of the National Protection Unit, along with members of the FARC political party, who were returning from a meeting in the village of El Oasis, was attacked by gunfire in the department of Arauca. One of the vehicles that was part of the caravan was incinerated and a civilian who was part of an oil company in the sector was killed in the attack.[136][137]","FARC dissidents","Colombian conflict"
"22","Bombing","3","34","Yala, Thailand","A motorcycle bomb killed three civilians and wounded two dozen others at a bustling morning market in Yala in Thailand's insurgency-hit south.[138][139]","Barisan Revolusi Nasional (suspected)","South Thailand insurgency"
"22","Bombing","2","4","Rawah District, Iraq","A bomb planted by Islamic State inside a house in central Rawa district in Anbar exploded once a six-strong family entered it following a long period of displacement, leaving two of the family members dead and four others injured.[140]","Islamic State","Iraqi insurgency"
"22","Grenade attack","0","1","Pampore, India","A civilian was injured in a grenade attack by terrorists who were targeting the security forces in Pampore in Jammu and Kashmir.[141]","Jaish-e-Mohammed (suspected)","Insurgency in Jammu and Kashmir"
"22","Grenade attack","0","1","Baramulla, India","A policeman was injured after terrorists lobbed a grenade near Baramulla Police station in Jammu and Kashmir.[142]","Lashkar-e-Taiba (suspected)","Insurgency in Jammu and Kashmir"
"23","Bombing","4","6","Banaadir, Somalia","Four people have been killed and six others wounded in a remote-controlled improvised explosive device explosion near Mogadishu.[143]","Al-Shabaab","Somali Civil War"
"23","Car bombings","41","80","Benghazi, Libya","A twin car bombing outside a mosque in Benghazi left at least 41 people dead and 80 injured. No group has claimed responsibility for the bombing, but many assumed it was the work of remnants of an Islamic State in Iraq and Syria group faction largely driven out of Libya.[144][145][146]","Islamic State (suspected)","Libyan Civil War"
"23","Shooting","2","2","Pinukpuk, Philippines","Two soldiers died and two were wounded in an encounter with members of the New People's Army in Pinukpuk in the Philippine province of Kalinga.[147]","New People's Army","CPP-NPA-NDF rebellion"
